X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
-75.1215486118575,40.0001694622982,50,Sergeant John J McVeigh Recreation Center,1908,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.068187407772,39.9995234587587,51,Bridesburg Recreation Center,1822,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1292342030226,40.0018467010585,52,John (Steve) Schmidt Playground,1978,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1083604597225,40.001457656865,53,Joseph A Scanlon Playground,1950,PPR_REC,A,Y,N,, ,Programs 6/23
-75.1614002292124,40.0062418013054,54,Jerome Brown Playground,1880,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2035887533525,40.0133560286932,55,Gustine Recreation Center,1984,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.073111976031,40.011121183859,56,Carmella A DiTizio Playground,1823,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0968726683943,40.0127977615652,57,Boniface Piccoli Playground,1935,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1436530575787,40.0176621429403,58,Hunting Park,845,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0542795535038,40.0184247973453,59,American Legion Playground,1808,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1209321778085,40.0216195676288,60,Feltonville Recreation Center,1853,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0931246242488,40.0215285575926,61,Private Alfred J Simpson Memorial Recreation Center,1954,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0485750641273,40.0213138473351,62,Frank JG Dorsey Memorial Playground,1848,PPR_REC,C,Y,N,, ,Programs 6/23
-75.1523154575345,40.0244983549957,63,Stenton Park,1958,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0801319174736,40.0242359823519,64,Joseph C McIlvain Playground,1907,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2113531416835,40.0288283448115,65,W Freeland Kendrick Recreation Center,1885,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0542344025922,40.0258209715733,66,Franklin Delano Roosevelt Playground,1943,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0491653946293,40.0281249182475,67,Joseph F Vogt Playground,1968,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0440477882234,40.0283824621769,68,Disston Recreation Center,1847,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0612638144159,40.0293893569868,69,Lower Mayfair Playground,1898,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0936757572503,40.029704740207,70,Edward Houseman Playground,1875,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1356743408414,40.0312773735014,71,John L Barrett Playground,1814,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1602661213413,40.0323774299799,72,Wister Playground,1974,PPR_REC,C,Y,N,, ,Programs 6/23
-75.2290871792701,40.0339511549428,73,Lonnie Cohen Recreation Center,1872,PPR_REC,A,Y,Y,,"Formerly Hillside, name changed 2023.",Programs 6/23
-75.0334248563923,40.0300665929162,74,Charles A Russo Playground,1946,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1180811424138,40.0341101846754,75,Charles J Ziehler Playground,1976,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1368012078409,40.0383050918713,76,A Albert Cherashore Playground,1828,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0271404240536,40.0361012531626,77,Holmesburg Recreation Center,1873,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0703881281193,40.0387411456503,78,Max Myers Playground,1904,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1563033060327,40.042173802102,79,Belfield Recreation Center,1815,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0821816247581,40.0407222152991,80,Seymour Tarken Recreation Center,1962,PPR_REC,A,Y,N,,Tarkan Ice Rink is a separate buliding on the same site.,Programs 6/23
-75.0530833732461,40.039881677746,81,Mayfair Recreation Center,1905,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1168703655276,40.0425385493987,82,Olney Recreation Center,1924,PPR_REC,A,Y,Y,,Closed for Rebuild ,Programs 6/23
-75.1686864651181,40.0454221987442,83,Waterview Recreation Center,1980,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1013201919856,40.0461563346073,84,Lawncrest Recreation Center,1891,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.179686086872,40.0477327845817,85,Daniel E Rumph II Recreation Center,1945,PPR_REC,B,Y,Y,, ,Programs 6/23
-75.1238139337803,40.0491070360007,86,Helen G Sturgis Playground,1960,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1463628902191,40.0505422829906,87,Morris Estate Cultural Center,1914,PPR_REC,B,Y,N,, ,Programs 6/23
-75.024569362954,40.0478974189828,88,James J Ramp Playground,1938,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0019604520396,40.0514017039177,89,George Jacobs Playground,1877,PPR_REC,B,Y,N,,"Gym on site is Non-PPR, it is an athletic association.",Programs 6/23
-75.1880202851918,40.0577357433783,90,Mount Airy Playground,1917,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1823975309598,40.0570920898348,91,Pleasant Playground,1936,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0764217660777,40.0562338257843,92,Thomas E Jardel Memorial Field,1879,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.157485351183,40.0615700593025,93,William B Simons Recreation Center,1953,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0507793611057,40.0617409521313,94,George C Pelbano Playground,1987,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.2313986078196,40.0691076149093,95,Samuel F Houston Playground,1876,PPR_REC,B,Y,N,,Located within Wissahickon Valley Park,Programs 6/23
-74.991948309211,40.0682396059283,96,Thomas Mitchell Playground,1912,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2004979060113,40.0753790322471,97,Water Tower Recreation Center,1979,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0816788055791,40.074194827245,98,Fox Chase Recreation Center,1857,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1756625163787,40.0814506443061,99,Dorothy Emanuel Recreation Center,1849,PPR_REC,A,Y,Y,, ,Programs 6/23
-74.9740189609193,40.0801120742335,100,Corporal Jimmy OConnor Memorial Playground,1826,PPR_REC,B,Y,N,,"Gym nearby is NOT PPR, it is an athletic association building. Formerly Chalfont Playground",Programs 6/23
